Data;Abertura;Alta;Baixa;Fechamento;Fechamento Ajustado
02/01/2018;76403000000;77909000000;76403000000;77891000000;77891000000
03/01/2018;77889000000;78414000000;77602000000;77995000000;77995000000
04/01/2018;77998000000;79135000000;77998000000;78647000000;78647000000
05/01/2018;78644000000;79071000000;78218000000;79071000000;79071000000
08/01/2018;79070000000;79395000000;78631000000;79379000000;79379000000
09/01/2018;79379000000;79415000000;78699000000;78864000000;78864000000
10/01/2018;78864000000;78864000000;78164000000;78201000000;78201000000
11/01/2018;78201000000;79365000000;78201000000;79365000000;79365000000
12/01/2018;79365000000;79440000000;78861000000;79349000000;79349000000
15/01/2018;79349000000;79847000000;79349000000;79752000000;79752000000
16/01/2018;79751000000;80246000000;79668000000;79832000000;79832000000
17/01/2018;79832000000;81189000000;79828000000;81189000000;81189000000
18/01/2018;81185000000;81367000000;80498000000;80963000000;80963000000
19/01/2018;80965000000;81429000000;80854000000;81220000000;81220000000
22/01/2018;81220000000;81675000000;80923000000;81675000000;81675000000
23/01/2018;81676000000;81676000000;80524000000;80678000000;80678000000
24/01/2018;80679000000;83680000000;80679000000;83680000000;83680000000
26/01/2018;83680000000;85531000000;83680000000;85531000000;85531000000
29/01/2018;85531000000;85531000000;84341000000;84698000000;84698000000
30/01/2018;84697000000;84697000000;83804000000;84482000000;84482000000
31/01/2018;84485000000;86213000000;84484000000;84913000000;84913000000
01/02/2018;84913000000;86028000000;84833000000;85495000000;85495000000
02/02/2018;85495000000;85495000000;83831000000;84041000000;84041000000
05/02/2018;84040000000;84311000000;81861000000;81861000000;81861000000
06/02/2018;81857000000;84162000000;80804000000;83894000000;83894000000
07/02/2018;83894000000;84410000000;82548000000;82767000000;82767000000
08/02/2018;82773000000;83501000000;81109000000;81533000000;81533000000
09/02/2018;81532000000;81897000000;79690000000;80899000000;80899000000
14/02/2018;80901000000;83782000000;80901000000;83543000000;83543000000
15/02/2018;83551000000;84686000000;83551000000;84291000000;84291000000
16/02/2018;84291000000;84575000000;83824000000;84525000000;84525000000
19/02/2018;84525000000;84956000000;84525000000;84793000000;84793000000
20/02/2018;84792000000;86290000000;84261000000;85804000000;85804000000
21/02/2018;85804000000;87358000000;85804000000;86052000000;86052000000
22/02/2018;86050000000;87159000000;86050000000;86686000000;86686000000
23/02/2018;86690000000;87345000000;86138000000;87293000000;87293000000
26/02/2018;87296000000;88318000000;87242000000;87653000000;87653000000
27/02/2018;87649000000;87839000000;86613000000;86935000000;86935000000
28/02/2018;86939000000;87109000000;85431000000;85481000000;85481000000
01/03/2018;85337000000;86260000000;84640000000;85378000000;85378000000
02/03/2018;85378000000;85761000000;83897000000;85761000000;85761000000
05/03/2018;85292000000;86165000000;85053000000;86023000000;86023000000
06/03/2018;86023000000;86931000000;85653000000;85653000000;85653000000
07/03/2018;85653000000;85653000000;84397000000;85484000000;85484000000
08/03/2018;85510000000;85830000000;84491000000;84985000000;84985000000
09/03/2018;84987000000;86389000000;84749000000;86371000000;86371000000
12/03/2018;86386000000;87046000000;86386000000;86900000000;86900000000
13/03/2018;86902000000;87333000000;86119000000;86384000000;86384000000
14/03/2018;86383000000;86970000000;85691000000;86051000000;86051000000
15/03/2018;86051000000;86051000000;84720000000;84928000000;84928000000
16/03/2018;84928000000;85495000000;84525000000;84886000000;84886000000
19/03/2018;84886000000;84886000000;83678000000;83913000000;83913000000
20/03/2018;83919000000;84412000000;83682000000;84164000000;84164000000
21/03/2018;84166000000;85145000000;84080000000;84977000000;84977000000
22/03/2018;84984000000;85499000000;84197000000;84768000000;84768000000
23/03/2018;84766000000;85450000000;84042000000;84377000000;84377000000
26/03/2018;84377000000;85553000000;84357000000;85088000000;85088000000
27/03/2018;85103000000;85296000000;83542000000;83808000000;83808000000
28/03/2018;83806000000;83889000000;82889000000;83874000000;83874000000
29/03/2018;83874000000;85708000000;83874000000;85366000000;85366000000
02/04/2018;85365000000;85675000000;84166000000;84666000000;84666000000
03/04/2018;84669000000;85411000000;84210000000;84623000000;84623000000
04/04/2018;84610000000;84610000000;82826000000;84360000000;84360000000
05/04/2018;84374000000;86148000000;84374000000;85210000000;85210000000
06/04/2018;85210000000;85210000000;83833000000;84820000000;84820000000
09/04/2018;84832000000;85110000000;83155000000;83307000000;83307000000
10/04/2018;83312000000;84538000000;83312000000;84510000000;84510000000
11/04/2018;84494000000;85417000000;84340000000;85246000000;85246000000
12/04/2018;85246000000;85577000000;85025000000;85444000000;85444000000
13/04/2018;85441000000;85441000000;84144000000;84334000000;84334000000
16/04/2018;84328000000;84591000000;82762000000;82862000000;82862000000
17/04/2018;82862000000;84191000000;82810000000;84086000000;84086000000
18/04/2018;84090000000;86149000000;84090000000;85776000000;85776000000
19/04/2018;85775000000;86059000000;85197000000;85824000000;85824000000
20/04/2018;85823000000;85823000000;85025000000;85550000000;85550000000
23/04/2018;85520000000;85746000000;84711000000;85602000000;85602000000
24/04/2018;85603000000;86578000000;85106000000;85469000000;85469000000
25/04/2018;85466000000;85466000000;84349000000;85044000000;85044000000
26/04/2018;85051000000;86383000000;85051000000;86383000000;86383000000
27/04/2018;86383000000;87179000000;86262000000;86445000000;86445000000
30/04/2018;86443000000;86739000000;85979000000;86115000000;86115000000
02/05/2018;86111000000;86111000000;84383000000;84547000000;84547000000
03/05/2018;84547000000;84562000000;83178000000;83288000000;83288000000
04/05/2018;83286000000;83671000000;82746000000;83118000000;83118000000
07/05/2018;83199000000;83643000000;82602000000;82714000000;82714000000
08/05/2018;82715000000;83409000000;82201000000;82956000000;82956000000
09/05/2018;82977000000;84447000000;82855000000;84265000000;84265000000
10/05/2018;84284000000;86201000000;84284000000;85861000000;85861000000
11/05/2018;85861000000;86406000000;85183000000;85220000000;85220000000
14/05/2018;85222000000;86105000000;84688000000;85232000000;85232000000
15/05/2018;85225000000;85231000000;83830000000;85130000000;85130000000
16/05/2018;85122000000;86678000000;85044000000;86537000000;86537000000
17/05/2018;86537000000;86537000000;83377000000;83622000000;83622000000
18/05/2018;83614000000;83614000000;81391000000;83082000000;83082000000
21/05/2018;83095000000;83883000000;81576000000;81815000000;81815000000
22/05/2018;81817000000;83396000000;81613000000;82739000000;82739000000
23/05/2018;82742000000;82742000000;80867000000;80867000000;80867000000
24/05/2018;80860000000;80860000000;79027000000;80122000000;80122000000
25/05/2018;80123000000;80629000000;78622000000;78898000000;78898000000
28/05/2018;78886000000;78886000000;75337000000;75356000000;75356000000
29/05/2018;75361000000;77214000000;75361000000;76072000000;76072000000
30/05/2018;76058000000;77097000000;75515000000;76754000000;76754000000
01/06/2018;76779000000;78169000000;75524000000;77240000000;77240000000
04/06/2018;77244000000;78637000000;77244000000;78596000000;78596000000
05/06/2018;78595000000;78892000000;76412000000;76642000000;76642000000
06/06/2018;76641000000;76967000000;75518000000;76117000000;76117000000
07/06/2018;76117000000;76117000000;71162000000;73851000000;73851000000
08/06/2018;73848000000;74031000000;71679000000;72942000000;72942000000
11/06/2018;72943000000;73716000000;71843000000;72308000000;72308000000
12/06/2018;72308000000;73322000000;72124000000;72754000000;72754000000
13/06/2018;72757000000;72977000000;71035000000;72122000000;72122000000
14/06/2018;72151000000;72708000000;71344000000;71421000000;71421000000
15/06/2018;71421000000;71421000000;69583000000;70758000000;70758000000
18/06/2018;70757000000;70757000000;69360000000;69815000000;69815000000
19/06/2018;69811000000;72010000000;69069000000;71394000000;71394000000
20/06/2018;71397000000;72617000000;71155000000;72123000000;72123000000
21/06/2018;72117000000;72207000000;70019000000;70075000000;70075000000
22/06/2018;70077000000;71058000000;69907000000;70641000000;70641000000
25/06/2018;70642000000;71323000000;69779000000;70953000000;70953000000
26/06/2018;70968000000;71622000000;70203000000;71405000000;71405000000
27/06/2018;71405000000;72032000000;70134000000;70609000000;70609000000
28/06/2018;70609000000;72092000000;70439000000;71767000000;71767000000
29/06/2018;71779000000;73020000000;71779000000;72763000000;72763000000
02/07/2018;72763000000;72840000000;71935000000;72840000000;72840000000
03/07/2018;72848000000;74515000000;72848000000;73668000000;73668000000
04/07/2018;73667000000;74904000000;73450000000;74743000000;74743000000
05/07/2018;74751000000;75127000000;73756000000;74553000000;74553000000
06/07/2018;74558000000;75065000000;74048000000;75010000000;75010000000
10/07/2018;75015000000;75895000000;74431000000;74862000000;74862000000
11/07/2018;74862000000;75025000000;74196000000;74399000000;74399000000
12/07/2018;74403000000;75898000000;74403000000;75856000000;75856000000
