Data;Taxa SELIC;IPCA;IGPM
02/01/2018;7.0;0.29;0.76
03/01/2018;7.0;0.29;0.76
04/01/2018;7.0;0.29;0.76
05/01/2018;7.0;0.29;0.76
08/01/2018;7.0;0.29;0.76
09/01/2018;7.0;0.29;0.76
10/01/2018;7.0;0.29;0.76
11/01/2018;7.0;0.29;0.76
12/01/2018;7.0;0.29;0.76
15/01/2018;7.0;0.29;0.76
16/01/2018;7.0;0.29;0.76
17/01/2018;7.0;0.29;0.76
18/01/2018;7.0;0.29;0.76
19/01/2018;7.0;0.29;0.76
22/01/2018;7.0;0.29;0.76
23/01/2018;7.0;0.29;0.76
24/01/2018;7.0;0.29;0.76
26/01/2018;7.0;0.29;0.76
29/01/2018;7.0;0.29;0.76
30/01/2018;7.0;0.29;0.76
31/01/2018;7.0;0.29;0.76
01/02/2018;7.0;0.32;0.07
02/02/2018;7.0;0.32;0.07
05/02/2018;7.0;0.32;0.07
06/02/2018;7.0;0.32;0.07
07/02/2018;7.0;0.32;0.07
08/02/2018;6.75;0.32;0.07
09/02/2018;6.75;0.32;0.07
14/02/2018;6.75;0.32;0.07
15/02/2018;6.75;0.32;0.07
16/02/2018;6.75;0.32;0.07
19/02/2018;6.75;0.32;0.07
20/02/2018;6.75;0.32;0.07
21/02/2018;6.75;0.32;0.07
22/02/2018;6.75;0.32;0.07
23/02/2018;6.75;0.32;0.07
26/02/2018;6.75;0.32;0.07
27/02/2018;6.75;0.32;0.07
28/02/2018;6.75;0.32;0.07
01/03/2018;6.75;0.09;0.64
02/03/2018;6.75;0.09;0.64
05/03/2018;6.75;0.09;0.64
06/03/2018;6.75;0.09;0.64
07/03/2018;6.75;0.09;0.64
08/03/2018;6.75;0.09;0.64
09/03/2018;6.75;0.09;0.64
12/03/2018;6.75;0.09;0.64
13/03/2018;6.75;0.09;0.64
14/03/2018;6.75;0.09;0.64
15/03/2018;6.75;0.09;0.64
16/03/2018;6.75;0.09;0.64
19/03/2018;6.75;0.09;0.64
20/03/2018;6.75;0.09;0.64
21/03/2018;6.75;0.09;0.64
22/03/2018;6.5;0.09;0.64
23/03/2018;6.5;0.09;0.64
26/03/2018;6.5;0.09;0.64
27/03/2018;6.5;0.09;0.64
28/03/2018;6.5;0.09;0.64
29/03/2018;6.5;0.09;0.64
02/04/2018;6.5;0.22;0.57
03/04/2018;6.5;0.22;0.57
04/04/2018;6.5;0.22;0.57
05/04/2018;6.5;0.22;0.57
06/04/2018;6.5;0.22;0.57
09/04/2018;6.5;0.22;0.57
10/04/2018;6.5;0.22;0.57
11/04/2018;6.5;0.22;0.57
12/04/2018;6.5;0.22;0.57
13/04/2018;6.5;0.22;0.57
16/04/2018;6.5;0.22;0.57
17/04/2018;6.5;0.22;0.57
18/04/2018;6.5;0.22;0.57
19/04/2018;6.5;0.22;0.57
20/04/2018;6.5;0.22;0.57
23/04/2018;6.5;0.22;0.57
24/04/2018;6.5;0.22;0.57
25/04/2018;6.5;0.22;0.57
26/04/2018;6.5;0.22;0.57
27/04/2018;6.5;0.22;0.57
30/04/2018;6.5;0.22;0.57
02/05/2018;6.5;0.4;1.38
03/05/2018;6.5;0.4;1.38
04/05/2018;6.5;0.4;1.38
07/05/2018;6.5;0.4;1.38
08/05/2018;6.5;0.4;1.38
09/05/2018;6.5;0.4;1.38
10/05/2018;6.5;0.4;1.38
11/05/2018;6.5;0.4;1.38
14/05/2018;6.5;0.4;1.38
15/05/2018;6.5;0.4;1.38
16/05/2018;6.5;0.4;1.38
17/05/2018;6.5;0.4;1.38
18/05/2018;6.5;0.4;1.38
21/05/2018;6.5;0.4;1.38
22/05/2018;6.5;0.4;1.38
23/05/2018;6.5;0.4;1.38
24/05/2018;6.5;0.4;1.38
25/05/2018;6.5;0.4;1.38
28/05/2018;6.5;0.4;1.38
29/05/2018;6.5;0.4;1.38
30/05/2018;6.5;0.4;1.38
01/06/2018;6.5;1.26;1.87
04/06/2018;6.5;1.26;1.87
05/06/2018;6.5;1.26;1.87
06/06/2018;6.5;1.26;1.87
07/06/2018;6.5;1.26;1.87
08/06/2018;6.5;1.26;1.87
11/06/2018;6.5;1.26;1.87
12/06/2018;6.5;1.26;1.87
13/06/2018;6.5;1.26;1.87
14/06/2018;6.5;1.26;1.87
15/06/2018;6.5;1.26;1.87
18/06/2018;6.5;1.26;1.87
19/06/2018;6.5;1.26;1.87
20/06/2018;6.5;1.26;1.87
21/06/2018;6.5;1.26;1.87
22/06/2018;6.5;1.26;1.87
25/06/2018;6.5;1.26;1.87
26/06/2018;6.5;1.26;1.87
27/06/2018;6.5;1.26;1.87
28/06/2018;6.5;1.26;1.87
29/06/2018;6.5;1.26;1.87
02/07/2018;6.5;0.33;0.51
03/07/2018;6.5;0.33;0.51
04/07/2018;6.5;0.33;0.51
05/07/2018;6.5;0.33;0.51
06/07/2018;6.5;0.33;0.51
10/07/2018;6.5;0.33;0.51
11/07/2018;6.5;0.33;0.51
12/07/2018;6.5;0.33;0.51
13/07/2018;6.5;0.33;0.51
16/07/2018;6.5;0.33;0.51
17/07/2018;6.5;0.33;0.51
18/07/2018;6.5;0.33;0.51
19/07/2018;6.5;0.33;0.51
20/07/2018;6.5;0.33;0.51
23/07/2018;6.5;0.33;0.51
24/07/2018;6.5;0.33;0.51
25/07/2018;6.5;0.33;0.51
26/07/2018;6.5;0.33;0.51
27/07/2018;6.5;0.33;0.51
30/07/2018;6.5;0.33;0.51
31/07/2018;6.5;0.33;0.51
01/08/2018;6.5;-0.09;0.7
02/08/2018;6.5;-0.09;0.7
03/08/2018;6.5;-0.09;0.7
06/08/2018;6.5;-0.09;0.7
07/08/2018;6.5;-0.09;0.7
08/08/2018;6.5;-0.09;0.7
09/08/2018;6.5;-0.09;0.7
10/08/2018;6.5;-0.09;0.7
13/08/2018;6.5;-0.09;0.7
14/08/2018;6.5;-0.09;0.7
15/08/2018;6.5;-0.09;0.7
16/08/2018;6.5;-0.09;0.7
17/08/2018;6.5;-0.09;0.7
20/08/2018;6.5;-0.09;0.7
21/08/2018;6.5;-0.09;0.7
22/08/2018;6.5;-0.09;0.7
23/08/2018;6.5;-0.09;0.7
24/08/2018;6.5;-0.09;0.7
27/08/2018;6.5;-0.09;0.7
28/08/2018;6.5;-0.09;0.7
29/08/2018;6.5;-0.09;0.7
30/08/2018;6.5;-0.09;0.7
31/08/2018;6.5;-0.09;0.7
03/09/2018;6.5;0.48;1.52
04/09/2018;6.5;0.48;1.52
05/09/2018;6.5;0.48;1.52
06/09/2018;6.5;0.48;1.52
10/09/2018;6.5;0.48;1.52
11/09/2018;6.5;0.48;1.52
12/09/2018;6.5;0.48;1.52
13/09/2018;6.5;0.48;1.52
14/09/2018;6.5;0.48;1.52
17/09/2018;6.5;0.48;1.52
18/09/2018;6.5;0.48;1.52
19/09/2018;6.5;0.48;1.52
20/09/2018;6.5;0.48;1.52
21/09/2018;6.5;0.48;1.52
24/09/2018;6.5;0.48;1.52
25/09/2018;6.5;0.48;1.52
26/09/2018;6.5;0.48;1.52
27/09/2018;6.5;0.48;1.52
28/09/2018;6.5;0.48;1.52
01/10/2018;6.5;0.45;0.89
02/10/2018;6.5;0.45;0.89
03/10/2018;6.5;0.45;0.89
04/10/2018;6.5;0.45;0.89
05/10/2018;6.5;0.45;0.89
08/10/2018;6.5;0.45;0.89
09/10/2018;6.5;0.45;0.89
10/10/2018;6.5;0.45;0.89
11/10/2018;6.5;0.45;0.89
15/10/2018;6.5;0.45;0.89
16/10/2018;6.5;0.45;0.89
17/10/2018;6.5;0.45;0.89
18/10/2018;6.5;0.45;0.89
19/10/2018;6.5;0.45;0.89
22/10/2018;6.5;0.45;0.89
23/10/2018;6.5;0.45;0.89
24/10/2018;6.5;0.45;0.89
25/10/2018;6.5;0.45;0.89
26/10/2018;6.5;0.45;0.89
29/10/2018;6.5;0.45;0.89
30/10/2018;6.5;0.45;0.89
31/10/2018;6.5;0.45;0.89
01/11/2018;6.5;-0.21;-0.49
05/11/2018;6.5;-0.21;-0.49
06/11/2018;6.5;-0.21;-0.49
07/11/2018;6.5;-0.21;-0.49
08/11/2018;6.5;-0.21;-0.49
09/11/2018;6.5;-0.21;-0.49
12/11/2018;6.5;-0.21;-0.49
13/11/2018;6.5;-0.21;-0.49
14/11/2018;6.5;-0.21;-0.49
16/11/2018;6.5;-0.21;-0.49
19/11/2018;6.5;-0.21;-0.49
21/11/2018;6.5;-0.21;-0.49
22/11/2018;6.5;-0.21;-0.49
23/11/2018;6.5;-0.21;-0.49
26/11/2018;6.5;-0.21;-0.49
27/11/2018;6.5;-0.21;-0.49
28/11/2018;6.5;-0.21;-0.49
29/11/2018;6.5;-0.21;-0.49
30/11/2018;6.5;-0.21;-0.49
03/12/2018;6.5;0.15;-1.08
04/12/2018;6.5;0.15;-1.08
05/12/2018;6.5;0.15;-1.08
06/12/2018;6.5;0.15;-1.08
07/12/2018;6.5;0.15;-1.08
10/12/2018;6.5;0.15;-1.08
11/12/2018;6.5;0.15;-1.08
12/12/2018;6.5;0.15;-1.08
13/12/2018;6.5;0.15;-1.08
14/12/2018;6.5;0.15;-1.08
17/12/2018;6.5;0.15;-1.08
18/12/2018;6.5;0.15;-1.08
19/12/2018;6.5;0.15;-1.08
20/12/2018;6.5;0.15;-1.08
21/12/2018;6.5;0.15;-1.08
26/12/2018;6.5;0.15;-1.08
27/12/2018;6.5;0.15;-1.08
28/12/2018;6.5;0.15;-1.08
02/01/2019;6.5;0.32;0.01
03/01/2019;6.5;0.32;0.01
04/01/2019;6.5;0.32;0.01
07/01/2019;6.5;0.32;0.01
08/01/2019;6.5;0.32;0.01
09/01/2019;6.5;0.32;0.01
10/01/2019;6.5;0.32;0.01
11/01/2019;6.5;0.32;0.01
14/01/2019;6.5;0.32;0.01
15/01/2019;6.5;0.32;0.01
16/01/2019;6.5;0.32;0.01
17/01/2019;6.5;0.32;0.01
18/01/2019;6.5;0.32;0.01
21/01/2019;6.5;0.32;0.01
